epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0544,1.19339,2.91932,1.12436,0.84925,0.80929,0.85023,0.58289,1.04682,2.20416,1.02942,0.00020004,0.00020004,0.00020004
2,20.3637,1.14888,1.41458,1.08978,0.72293,0.76618,0.80323,0.52094,1.25999,1.773,1.14653,0.000406435,0.000406435,0.000406435
3,25.8944,1.18762,1.24832,1.11281,0.75651,0.64083,0.74649,0.48771,1.13609,2.41407,1.11394,0.000602104,0.000602104,0.000602104
4,31.7038,1.18058,1.10404,1.13475,0.68393,0.49821,0.55289,0.32396,1.43844,2.98177,1.34138,0.000787045,0.000787045,0.000787045
5,36.7663,1.18486,0.99417,1.1565,0.57829,0.61659,0.53737,0.3204,1.44235,1.65482,1.39726,0.000961259,0.000961259,0.000961259
6,43.0693,1.21429,1.05755,1.16242,0.76259,0.61937,0.68896,0.43369,1.4021,1.31892,1.39451,0.00112475,0.00112475,0.00112475
7,47.964,1.27856,1.07329,1.19057,0.48601,0.64455,0.55087,0.30463,1.32802,2.20651,1.33364,0.00127751,0.00127751,0.00127751
8,53.742,1.22172,1.11833,1.19815,0.51688,0.67244,0.51614,0.28829,1.35236,3.78568,1.32688,0.00137819,0.00137819,0.00137819
9,59.1191,1.203,1.01837,1.14597,0.54295,0.54455,0.51108,0.31504,1.34478,2.991,1.30919,0.00133693,0.00133693,0.00133693
10,64.1138,1.21751,1.01002,1.15916,0.32858,0.43013,0.31389,0.1775,1.42742,3.1537,1.36585,0.00129568,0.00129568,0.00129568
11,70.2749,1.18825,0.94495,1.14969,0.7155,0.70801,0.70951,0.42893,1.3043,1.40696,1.24578,0.00125442,0.00125442,0.00125442
12,75.1762,1.1786,0.88791,1.13424,0.64713,0.61726,0.55917,0.3451,1.37778,1.75801,1.29884,0.00121316,0.00121316,0.00121316
13,81.1121,1.17611,0.90235,1.14716,0.69448,0.72115,0.7426,0.4745,1.3611,1.44324,1.26702,0.0011719,0.0011719,0.0011719
14,86.2188,1.13897,0.89251,1.12979,0.6854,0.69551,0.6651,0.43354,1.27438,1.34424,1.22245,0.00113064,0.00113064,0.00113064
15,91.0252,1.19426,0.89174,1.15283,0.74569,0.74712,0.77516,0.44674,1.38385,1.21273,1.25453,0.00108938,0.00108938,0.00108938
16,97.1219,1.09561,0.82487,1.09597,0.7331,0.72244,0.7774,0.49475,1.2872,1.16527,1.30814,0.00104813,0.00104813,0.00104813
17,102.155,1.11572,0.80465,1.08644,0.7547,0.80157,0.84792,0.55748,1.18979,0.96935,1.18211,0.00100687,0.00100687,0.00100687
18,108.065,1.09442,0.80921,1.08481,0.82065,0.76209,0.84287,0.54863,1.21138,1.13374,1.22775,0.00096561,0.00096561,0.00096561
19,113.101,1.05949,0.78293,1.06355,0.73606,0.75977,0.79374,0.52666,1.21106,0.9664,1.17867,0.000924352,0.000924352,0.000924352
20,118.309,1.06761,0.79,1.07976,0.86892,0.74237,0.87208,0.57766,1.22051,0.9444,1.22671,0.000883093,0.000883093,0.000883093
21,124.086,1.0476,0.7664,1.08962,0.71133,0.78936,0.81518,0.53027,1.20023,1.02722,1.20888,0.000841835,0.000841835,0.000841835
22,129.317,1.04202,0.76237,1.06835,0.793,0.83196,0.84833,0.54562,1.25403,0.93279,1.22715,0.000800577,0.000800577,0.000800577
23,135.308,1.00077,0.71753,1.0306,0.89484,0.67301,0.82691,0.53736,1.26569,0.98933,1.23153,0.000759318,0.000759318,0.000759318
24,140.345,1.01553,0.72597,1.05892,0.80416,0.84753,0.8992,0.62238,1.10527,0.84598,1.09744,0.00071806,0.00071806,0.00071806
25,145.939,0.94727,0.68445,1.02671,0.8873,0.75897,0.90796,0.6122,1.15659,0.85001,1.13619,0.000676802,0.000676802,0.000676802
